"","RP.2","RP.5","RP.10","RP.20","RP.25","RP.50","RP.100"
"wak",8.95381763145824,29.4174803693982,48.2729961757108,68.3470155963075,74.9054413916746,95.2349230529719,115.156285004811
"wei",9.27903827251107,28.8976668259285,46.8033469065861,66.6936470865289,73.4629189341222,95.50438963709,118.940421010088
"smd",9.28829644454296,28.9148196512028,46.8097033907978,66.6765704421755,73.4358262601294,95.4391038843283,118.826614566288
"kap",9.07683752395431,29.4390973920416,47.4495222145605,66.8646005474478,73.3656058101556,94.2698098143013,116.204675960409
"pe3",8.95609555915115,29.6724599786059,47.9457131988452,67.361444128819,73.7805819729031,94.1085950373056,114.892261921827
"gam",9.36026046486353,30.0901502156765,47.8590668143483,66.5367063426007,72.683662404896,92.0868544717924,111.853026873414
"gpa",9.86622111856061,27.7095234669289,44.1888804283673,63.7747771481256,70.8345887313774,95.4434940809985,124.691448336242
"gno",9.98872330168442,27.1798993703565,43.6748553434867,63.8149119026722,71.1621940022305,96.9512232611196,127.683688906923
"ln3",9.98872330168442,27.1798993703565,43.6748553434867,63.8149119026722,71.1621940022305,96.9512232611197,127.683688906923
"gev",10.5341687045303,26.0260310681476,40.9003823704392,60.0355299973388,67.349087209426,94.5697278011405,130.322109024422
"glo",10.7723912399782,25.631499134033,39.792189719519,58.3625092183166,65.5854289949098,93.0569038753748,130.394173552337
"exp",11.4472737148437,31.7796002010985,47.1604114304622,62.5412226598258,67.492737916717,82.8735491460806,98.2543603754443
"pdq3",10.8026465758156,24.2415576723826,39.6279962974802,62.4248837849078,71.6082139562662,105.8861731638,147.718446401567
"lap",10.1301776691102,23.7438497949095,34.0421952029926,44.3405406110756,47.6558673287918,57.9542127368749,68.252558144958
"gum",14.8836539870636,33.0259355860099,45.0377046165223,56.5596818557315,60.2146066291571,71.4736995340942,82.6496570643704
"ray",15.9621429268252,34.6017743390291,45.2359541246707,54.3570315393663,57.0628709687652,64.9174444849583,72.1018722463334
"nor",18.2562825709322,34.8069459451512,43.4582709618232,50.6026844837808,52.6839023640089,58.6436985712811,64.0044160764589
"pdq4",18.2562825709322,32.0071382357074,41.6133159010964,51.6409799952633,54.9639067761261,65.511027928845,76.2914331606183
"revgum",21.6289111548009,35.11281379383,40.8455266293544,45.0577560945959,46.2077238365561,49.3293647772202,51.9404366720805
"rice",17.1506324176085,26.1339178866252,31.259012403286,35.6548741233609,36.9589411132101,40.7444170474147,44.2069192871159
"empirical",8.8,29.9400000000001,48.5233333333333,67.695,74.0439999999996,92.374,110.384999999999
"quantileMean",8.8,29.8958333333334,48.5037037037037,67.6729166666667,73.8088333333332,92.2782222222222,110.238972222222
"weighted1",10.9129265078479,28.9025160218005,44.4606311554509,61.9675959480051,68.0585725205189,88.5203721986664,111.523074167832
"weighted2",10.8762636582532,28.8919843990878,44.4934453829584,62.0565783238593,68.1680360143692,88.7006744457693,111.785458741666
"weighted3",9.49900341418189,28.5236209138132,45.8973145557623,65.5354744619921,72.3383715766869,95.0349824652886,120.296184551155
"weightedc",NA,NA,NA,NA,NA,NA,NA
"n_full",3454,NA,NA,NA,NA,NA,NA
"n",3454,NA,NA,NA,NA,NA,NA
"threshold",0.1,NA,NA,NA,NA,NA,NA
